symbol,side,entry_time,entry,exit_time,exit,exit_reason,net_bps
NFLX,long,2019-09-26,26.642000198364258,2019-10-09,26.753000259399414,time,35.663561372531355
NFLX,short,2019-10-18,28.93600082397461,2019-10-18,27.501390485265908,target,489.7873575674188
IWM,long,2019-08-07,135.6026026323838,2019-08-08,139.15676394546892,target,256.1012608969164
IWM,short,2019-09-16,143.8990048292885,2019-09-24,140.28945131597203,target,244.83936595660106
XLF,long,2019-08-05,23.67959852178234,2019-08-05,23.369349444439816,stop,-137.0195681979709
XLF,long,2019-08-08,23.69714047370516,2019-08-13,23.30227465551606,stop,-172.63015464977727
XLF,long,2019-12-04,26.07540917250886,2019-12-05,26.452304638196473,target,138.54057583302315
AAPL,long,2020-03-02,68.14338175177791,2020-03-02,71.95681964733613,target,553.6197015066284
AAPL,short,2020-06-12,83.44187634114364,2020-06-16,85.48827908827344,stop,-251.248889030647
AAPL,short,2020-06-24,88.35080675031271,2020-06-29,85.03283759140268,target,369.5448626843794
MSFT,long,2020-03-02,156.68969102388243,2020-03-03,165.02206777297303,target,525.7756831762854
MSFT,long,2020-03-16,132.69949300751503,2020-03-25,145.7013208217306,target,973.7948371573107
MSFT,long,2020-08-03,201.0483878405726,2020-08-11,196.05814837259194,stop,-254.2108671240779
MSFT,short,2020-02-12,175.42353231595447,2020-02-21,170.14325993491155,target,295.00137144272287
MSFT,short,2020-06-12,181.1070182904642,2020-06-17,185.90872097760916,stop,-271.13067977541607
NVDA,short,2020-02-18,7.100582772620869,2020-02-18,7.295048265304766,stop,-279.87258047851583
NVDA,short,2020-05-14,7.8020291552258385,2020-05-15,8.135977272163073,stop,-434.0272609767866
NVDA,short,2020-05-20,8.945459810615404,2020-05-27,8.407617199592819,target,595.2464673803996
AMZN,long,2020-03-02,95.32450103759766,2020-03-03,99.43678267381003,target,425.39818110250695
AMZN,short,2020-02-04,101.49400329589844,2020-02-05,103.5510025024414,stop,-208.67199437842055
